precinct_id,polling_location_id
025-090,MAS-090
055-015,WIS-015
006-009,CAL-009
023-089,MAI-089
013-041,GEO-041
012-051,FLO-051
025-111,MAS-111
006-021,CAL-021
034-010,NEWJ-010
006-041,CAL-041
006-032,CAL-032
025-111,MAS-111
004-067,ARI-067
027-028,MIN-028
042-097,PEN-097
051-092,VIR-092
009-069,CON-069
034-010,NEWJ-010
036-099,NEWY-099
023-089,MAI-089
006-000,CAL-000
036-072,NEWY-072
013-009,GEO-009
013-000,GEO-000
013-055,GEO-055
017-038,ILL-038
013-062,GEO-062
013-000,GEO-000
023-027,MAI-027
025-090,MAS-090
